number,value,datetime_start,datetime_complete,duration,params_C,params_activation,params_batch_size,params_dropout,params_gamma,params_gamma_mode,params_kernel,params_lr,params_pls_components,params_weight_decay,state
0,0.5844155844155844,2026-09-22 09:08:06.711695,2026-09-22 09:08:06.898388,0 days 00:00:00.186693,1.40779231399724,gelu,8,0.16239780813448107,4.982752357076453e-06,numeric,rbf,0.0003574712922600243,8,0.006351221010640704,COMPLETE
1,0.5,2026-09-22 09:08:06.898388,2026-09-22 09:08:07.117392,0 days 00:00:00.219004,0.4374364439939078,relu,16,0.3056937753654446,,auto,rbf,0.00027010527749605503,12,2.9204338471814107e-05,COMPLETE
2,0.5,2026-09-22 09:08:07.117392,2026-09-22 09:08:07.267888,0 days 00:00:00.150496,0.21481457181982683,gelu,8,0.31868411173731187,,auto,rbf,0.0022038218939289885,4,1.0842262717330169e-05,COMPLETE
3,0.5,2026-09-22 09:08:07.267888,2026-09-22 09:08:07.415701,0 days 00:00:00.147813,5.492736444508448,relu,16,0.4947547746402069,,scale,rbf,0.00026000059117302663,4,0.00014817820606039095,COMPLETE
4,0.4880952380952381,2026-09-22 09:08:07.415701,2026-09-22 09:08:07.566840,0 days 00:00:00.151139,0.0769371131264886,gelu,16,0.14783769837532068,,auto,rbf,0.0003022283475646735,4,0.000828752236376816,COMPLETE
5,0.579004329004329,2026-09-22 09:08:07.566840,2026-09-22 09:08:07.816697,0 days 00:00:00.249857,0.004574162058025036,relu,32,0.16448851490160177,0.020121155449063854,numeric,linear,0.0004038176882071838,12,0.001052457468133564,COMPLETE
6,0.5335497835497836,2026-09-22 09:08:07.817694,2026-09-22 09:08:08.001586,0 days 00:00:00.183892,0.0016646452049870533,relu,8,0.2350460685614512,,scale,linear,0.00010239273411172726,8,0.00011040511903162256,COMPLETE
7,0.5,2026-09-22 09:08:08.001586,2026-09-22 09:08:08.148667,0 days 00:00:00.147081,0.08407761618357402,gelu,32,0.49426018164424035,0.0024424282201158257,numeric,rbf,0.00025798509464504095,2,0.004295992790539129,COMPLETE
8,0.5335497835497836,2026-09-22 09:08:08.148667,2026-09-22 09:08:08.349723,0 days 00:00:00.201056,1.506272232520005,gelu,16,0.37637509524098645,0.031775345821188294,numeric,linear,0.00010580403601696646,8,0.0001117820920069873,COMPLETE
9,0.5,2026-09-22 09:08:08.349723,2026-09-22 09:08:08.540383,0 days 00:00:00.190660,1.960662020009781,relu,32,0.45483456970604697,,scale,rbf,0.0008613261227615091,6,2.270487755790923e-05,COMPLETE
